Station ID;Observer ID;Serial Number;Date;Time;ObsG;Dial;Feedback Correction;Earthtide Correction;Level Correction;Temperature Correction;Beam Error;Height;Elevation;Latitude;Longitude;Elapsed Time;Standard Deviation;Temperature Frequency;Note;Gradient;datetime;period;Drift_Estimated;G_final_corrected
LM002;pablo;B-28;2024/04/02;12:41:18;-0,085;2459;-0,098;-0,025;0;0,038;0,0004;27,6;2349,5782;28,28821323;-16,53995801;75;0,0043;0;No notes.;3,086;2024-04-02 12:41:18;april;-0,0015266540851400778;-0,08347334591485993
LM002;pablo;B-28;2024/04/02;12:41:53;-0,092;2459;-0,104;-0,025;0;0,038;-0,0012;27,6;2349,5782;28,28821323;-16,53995801;110;0,0032;0;No notes.;3,086;2024-04-02 12:41:53;april;-0,0015307591027792222;-0,09046924089722078
LM002;pablo;B-28;2024/04/02;12:42:14;-0,106;2459;-0,118;-0,025;0;0,038;-0,0016;27,6;2349,5782;28,28821323;-16,53995801;131;0,0044;0;No notes.;3,086;2024-04-02 12:42:14;april;-0,0015332220893167214;-0,10446677791068328
LM002;pablo;B-28;2024/04/02;12:42:34;-0,113;2459;-0,125;-0,025;0;0,038;-0,001;27,6;2349,5782;28,28821323;-16,53995801;151;0,0042;0;No notes.;3,086;2024-04-02 12:42:34;april;-0,0015355677740143125;-0,11146443222598569
LM002;pablo;B-28;2024/04/02;12:42:52;-0,118;2459;-0,131;-0,025;0;0,038;-0,0009;27,6;2349,5782;28,28821323;-16,53995801;169;0,0053;0;No notes.;3,086;2024-04-02 12:42:52;april;-0,001537678876256221;-0,11646232112374377
LM002;pablo;B-28;2024/04/02;12:43:12;-0,118;2459;-0,13;-0,025;0;0,038;-0,0002;27,6;2349,5782;28,28821323;-16,53995801;189;0,0079;0;No notes.;3,086;2024-04-02 12:43:12;april;-0,0015400245298740067;-0,11645997547012599
LM002;pablo;B-28;2024/04/02;12:43:29;-0,122;2459;-0,135;-0,025;0;0,038;0,0003;27,6;2349,5782;28,28821323;-16,53995801;206;0,0025;0;No notes.;3,086;2024-04-02 12:43:29;april;-0,0015420183225878237;-0,12045798167741217
LM002;pablo;B-28;2024/04/02;12:43:48;-0,127;2459;-0,14;-0,025;0;0,038;-0,0013;27,6;2349,5782;28,28821323;-16,53995801;225;0,0058;0;No notes.;3,086;2024-04-02 12:43:48;april;-0,001544246665164395;-0,1254557533348356
LM002;pablo;B-28;2024/04/02;12:44:20;-0,129;2459;-0,142;-0,025;0;0,038;-0,0004;27,6;2349,5782;28,28821323;-16,53995801;257;0,0064;0;No notes.;3,086;2024-04-02 12:44:20;april;-0,0015479996298182197;-0,12745200037018178
LM003;pablo;B-28;2024/04/02;13:33:23;-0,147;2462;-0,167;-0,018;0;0,038;0,0015;27,3;2336,9749;28,28938782;-16,54212119;66;0,0039;0;No notes.;3,086;2024-04-02 13:33:23;april;-0,0018929760736249301;-0,14510702392637506
LM003;pablo;B-28;2024/04/02;13:33:41;-0,145;2462;-0,165;-0,018;0;0,038;-0,0004;27,3;2336,9749;28,28938782;-16,54212119;84;0,0046;0;No notes.;3,086;2024-04-02 13:33:41;april;-0,0018950849314969265;-0,14310491506850306
LM003;pablo;B-28;2024/04/02;13:34:04;-0,146;2462;-0,166;-0,018;0;0,038;-0,0005;27,3;2336,9749;28,28938782;-16,54212119;107;0,0044;0;No notes.;3,086;2024-04-02 13:34:04;april;-0,0018977795639404382;-0,14410222043605955
LM003;pablo;B-28;2024/04/02;13:34:21;-0,144;2462;-0,164;-0,018;0;0,038;0,0009;27,3;2336,9749;28,28938782;-16,54212119;124;0,008;0;No notes.;3,086;2024-04-02 13:34:21;april;-0,0018997712348859386;-0,14210022876511405
LM003;pablo;B-28;2024/04/02;13:34:53;-0,141;2462;-0,161;-0,018;0;0,038;-0,001;27,3;2336,9749;28,28938782;-16,54212119;156;0,0059;0;No notes.;3,086;2024-04-02 13:34:53;april;-0,0019035202304867882;-0,1390964797695132
LM003;pablo;B-28;2024/04/02;13:35:24;-0,141;2462;-0,161;-0,018;0;0,038;0,0003;27,3;2336,9749;28,28938782;-16,54212119;187;0,0055;0;No notes.;3,086;2024-04-02 13:35:24;april;-0,001907152030041659;-0,13909284796995833
LM003;pablo;B-28;2024/04/02;13:35:41;-0,137;2462;-0,157;-0,018;0;0,038;-0,0008;27,3;2336,9749;28,28938782;-16,54212119;204;0,0046;0;No notes.;3,086;2024-04-02 13:35:41;april;-0,0019091436453707589;-0,13509085635462925
LM003;pablo;B-28;2024/04/02;13:35:57;-0,139;2462;-0,159;-0,018;0;0,038;-0,0001;27,3;2336,9749;28,28938782;-16,54212119;220;0,0039;0;No notes.;3,086;2024-04-02 13:35:57;april;-0,001911018096060757;-0,13708898190393926
LM005;pablo;B-28;2024/04/02;14:23:51;-0,166;2463;-0,197;-0,007;0;0,038;0,0005;26,7;2334,4915;28,28943726;-16,54642737;76;0,004;0;No notes.;3,086;2024-04-02 14:23:51;april;-0,0022475464694109437;-0,16375245353058906
LM005;pablo;B-28;2024/04/02;14:24:10;-0,166;2463;-0,197;-0,007;0;0,038;0,0006;26,7;2334,4915;28,28943726;-16,54642737;95;0,0027;0;No notes.;3,086;2024-04-02 14:24:10;april;-0,002249770132924933;-0,16375022986707508
LM005;pablo;B-28;2024/04/02;14:24:37;-0,168;2463;-0,199;-0,006;0;0,038;-0,0006;26,7;2334,4915;28,28943726;-16,54642737;122;0,0033;0;No notes.;3,086;2024-04-02 14:24:37;april;-0,002252930050417601;-0,1657470699495824
LM005;pablo;B-28;2024/04/02;14:24:54;-0,177;2463;-0,208;-0,006;0;0,038;-0,0015;26,7;2334,4915;28,28943726;-16,54642737;139;0,0026;0;No notes.;3,086;2024-04-02 14:24:54;april;-0,002254919612803774;-0,17474508038719622
LM005;pablo;B-28;2024/04/02;14:25:22;-0,182;2463;-0,213;-0,006;0;0,038;-0,0009;26,7;2334,4915;28,28943726;-16,54642737;167;0,0041;0;No notes.;3,086;2024-04-02 14:25:22;april;-0,002258196513323263;-0,17974180348667673
LM005;pablo;B-28;2024/04/02;14:26:08;-0,187;2463;-0,219;-0,006;0;0,038;0,0003;26,7;2334,4915;28,28943726;-16,54642737;213;0,0064;0;No notes.;3,086;2024-04-02 14:26:08;april;-0,002263579923145631;-0,18473642007685437
LM005;pablo;B-28;2024/04/02;14:26:33;-0,186;2463;-0,218;-0,006;0;0,038;-0,0002;26,7;2334,4915;28,28943726;-16,54642737;238;0,0035;0;No notes.;3,086;2024-04-02 14:26:33;april;-0,002266505653059747;-0,18373349434694025
LM005;pablo;B-28;2024/04/02;14:27:09;-0,186;2463;-0,218;-0,006;0;0,038;0,001;26,7;2334,4915;28,28943726;-16,54642737;274;0,005;0;No notes.;3,086;2024-04-02 14:27:09;april;-0,0022707186592337836;-0,18372928134076622
LM005;pablo;B-28;2024/04/02;14:27:45;-0,183;2463;-0,215;-0,006;0;0,038;0,0007;26,7;2334,4915;28,28943726;-16,54642737;310;0,004;0;No notes.;3,086;2024-04-02 14:27:45;april;-0,0022749316124086594;-0,18072506838759134
LM005;pablo;B-28;2024/04/02;14:28:20;-0,181;2463;-0,213;-0,005;0;0,038;-0,0001;26,7;2334,4915;28,28943726;-16,54642737;345;0,0049;0;No notes.;3,086;2024-04-02 14:28:20;april;-0,0022790274882950046;-0,178720972511705
LM005;pablo;B-28;2024/04/02;14:29:31;-0,168;2463;-0,201;-0,005;0;0,038;0,0007;26,7;2334,4915;28,28943726;-16,54642737;416;0,0036;0;No notes.;3,086;2024-04-02 14:29:31;april;-0,00228733611120735;-0,16571266388879266
LM006;pablo;B-28;2024/04/02;15:23:12;0,025;2454;-0,024;0,012;0;0,036;0,0011;27,1;2360,8992;28,28712044;-16,53803066;76;0,0043;5;No notes.;3,086;2024-04-02 15:23:12;april;-0,00266404992369218;0,02766404992369218
LM006;pablo;B-28;2024/04/02;15:23:35;0,027;2454;-0,022;0,013;0;0,036;0,0003;27,1;2360,8992;28,28712044;-16,53803066;99;0,0085;6;No notes.;3,086;2024-04-02 15:23:35;april;-0,0026667383756329155;0,029666738375632915
LM006;pablo;B-28;2024/04/02;15:23:54;0,026;2454;-0,022;0,013;0;0,036;-0,0001;27,1;2360,8992;28,28712044;-16,53803066;118;0,0029;6;No notes.;3,086;2024-04-02 15:23:54;april;-0,002668959254397474;0,028668959254397473
LM006;pablo;B-28;2024/04/02;15:24:11;0,026;2454;-0,022;0,013;0;0,035;0,0002;27,1;2360,8992;28,28712044;-16,53803066;135;0,0046;7;No notes.;3,086;2024-04-02 15:24:11;april;-0,0026709463439363867;0,028670946343936386
LM006;pablo;B-28;2024/04/02;15:24:32;0,025;2454;-0,023;0,013;0;0,035;-0,0002;27,1;2360,8992;28,28712044;-16,53803066;156;0,0042;8;No notes.;3,086;2024-04-02 15:24:32;april;-0,0026734009676380177;0,02767340096763802
LM006;pablo;B-28;2024/04/02;15:25:12;0,025;2454;-0,023;0,013;0;0,035;-0,0003;27,1;2360,8992;28,28712044;-16,53803066;196;0,0055;9;No notes.;3,086;2024-04-02 15:25:12;april;-0,0026780763914641126;0,027678076391464114
LM006;pablo;B-28;2024/04/02;15:25:29;0,026;2454;-0,023;0,013;0;0,035;-0,0002;27,1;2360,8992;28,28712044;-16,53803066;213;0,0049;8;No notes.;3,086;2024-04-02 15:25:29;april;-0,0026800634267769574;0,028680063426776956
LM006;pablo;B-28;2024/04/02;15:25:45;0,026;2454;-0,022;0,013;0;0,035;0,0002;27,1;2360,8992;28,28712044;-16,53803066;229;0,0026;9;No notes.;3,086;2024-04-02 15:25:45;april;-0,0026819335668634148;0,028681933566863414
LM006;pablo;B-28;2024/04/02;15:26:03;0,027;2454;-0,021;0,014;0;0,035;0,0001;27,1;2360,8992;28,28712044;-16,53803066;247;0,0024;9;No notes.;3,086;2024-04-02 15:26:03;april;-0,0026840374619468976;0,029684037461946897
LM006;pablo;B-28;2024/04/02;15:26:24;0,027;2454;-0,021;0,014;0;0,035;-0,0003;27,1;2360,8992;28,28712044;-16,53803066;268;0,0046;9;No notes.;3,086;2024-04-02 15:26:24;april;-0,002686491989464801;0,0296864919894648
LM006;pablo;B-28;2024/04/02;15:27:04;0,027;2454;-0,021;0,014;0;0,034;0,0001;27,1;2360,8992;28,28712044;-16,53803066;308;0,0057;10;No notes.;3,086;2024-04-02 15:27:04;april;-0,0026911672300837797;0,02969116723008378
LM006;pablo;B-28;2024/04/02;15:27:22;0,027;2454;-0,021;0,014;0;0,034;0,0002;27,1;2360,8992;28,28712044;-16,53803066;326;0,0059;10;No notes.;3,086;2024-04-02 15:27:22;april;-0,002693271067015446;0,029693271067015446
LM006;pablo;B-28;2024/04/02;15:27:39;0,026;2454;-0,022;0,014;0;0,034;0,0;27,1;2360,8992;28,28712044;-16,53803066;343;0,0037;11;No notes.;3,086;2024-04-02 15:27:39;april;-0,0026952580119514735;0,028695258011951472
LM006;pablo;B-28;2024/04/02;15:28:01;0,026;2454;-0,022;0,014;0;0,034;0,0002;27,1;2360,8992;28,28712044;-16,53803066;365;0,0032;11;No notes.;3,086;2024-04-02 15:28:01;april;-0,0026978293349131377;0,028697829334913137
LM006;pablo;B-28;2024/04/02;15:28:19;0,026;2454;-0,023;0,014;0;0,033;-0,0001;27,1;2360,8992;28,28712044;-16,53803066;383;0,004;12;No notes.;3,086;2024-04-02 15:28:19;april;-0,0026999331298870333;0,028699933129887032
LM006;pablo;B-28;2024/04/02;15:28:47;0,025;2454;-0,023;0,015;0;0,034;-0,0001;27,1;2360,8992;28,28712044;-16,53803066;411;0,0037;11;No notes.;3,086;2024-04-02 15:28:47;april;-0,002703205673510456;0,027703205673510457
LM006;pablo;B-28;2024/04/02;15:29:03;0,024;2454;-0,025;0,015;0;0,034;-0,0003;27,1;2360,8992;28,28712044;-16,53803066;427;0,0037;10;No notes.;3,086;2024-04-02 15:29:03;april;-0,002705075684043212;0,026705075684043213
LM006;pablo;B-28;2024/04/02;15:29:20;0,023;2454;-0,026;0,015;0;0,033;-0,0002;27,1;2360,8992;28,28712044;-16,53803066;444;0,0017;12;No notes.;3,086;2024-04-02 15:29:20;april;-0,0027070625587634067;0,025707062558763406
LM006;pablo;B-28;2024/04/02;15:29:41;0,024;2454;-0,024;0,015;0;0,033;0,0003;27,1;2360,8992;28,28712044;-16,53803066;465;0,0048;12;No notes.;3,086;2024-04-02 15:29:41;april;-0,0027095169171008626;0,026709516917100863
3RDB;pablo;B-28;2024/04/02;16:24:26;0,041;2495;-0,034;0,037;0;0,038;0,0007;25,3;2224,2171;28,23467194;-16,6298307;69;0,0045;0;No notes.;3,086;2024-04-02 16:24:26;april;-0,003093226624379053;0,044093226624379055
3RDB;pablo;B-28;2024/04/02;16:24:42;0,041;2495;-0,034;0,037;0;0,038;-0,0002;25,3;2224,2171;28,23467194;-16,6298307;85;0,0019;0;No notes.;3,086;2024-04-02 16:24:42;april;-0,0030950944501660915;0,04409509445016609
3RDB;pablo;B-28;2024/04/02;16:25:00;0,041;2495;-0,034;0,037;0;0,038;0,0001;25,3;2224,2171;28,23467194;-16,6298307;103;0,0046;0;No notes.;3,086;2024-04-02 16:25:00;april;-0,0030971957416626728;0,044097195741662674
3RDB;pablo;B-28;2024/04/02;16:25:24;0,042;2495;-0,034;0,037;0;0,038;0,0003;25,3;2224,2171;28,23467194;-16,6298307;127;0,0032;0;No notes.;3,086;2024-04-02 16:25:24;april;-0,003099997443047453;0,045099997443047456
3RDB;pablo;B-28;2024/04/02;16:26:05;0,042;2495;-0,033;0,037;0;0,038;0,0005;25,3;2224,2171;28,23467194;-16,6298307;168;0,0022;0;No notes.;3,086;2024-04-02 16:26:05;april;-0,0031047836284212593;0,04510478362842126
3RDB;pablo;B-28;2024/04/02;16:26:30;0,043;2495;-0,033;0,038;0;0,038;0,0002;25,3;2224,2171;28,23467194;-16,6298307;193;0,004;0;No notes.;3,086;2024-04-02 16:26:30;april;-0,003107702000399115;0,04610770200039911
3RDB;pablo;B-28;2024/04/02;16:26:59;0,04;2495;-0,035;0,038;0;0,038;-0,0003;25,3;2224,2171;28,23467194;-16,6298307;222;0,0032;0;No notes.;3,086;2024-04-02 16:26:59;april;-0,0031110872798729705;0,04311108727987297
3RDB;pablo;B-28;2024/04/02;16:27:19;0,041;2495;-0,035;0,038;0;0,038;0,0004;25,3;2224,2171;28,23467194;-16,6298307;242;0,0028;0;No notes.;3,086;2024-04-02 16:27:19;april;-0,0031134219353338155;0,04411342193533382
CHIP;pablo;B-28;2024/04/02;17:27:09;0,043;2522;-0,059;0,065;0;0,038;0,0007;24,8;1946,8109;28,37399983;-16,46387039;67;0,0035;0;No notes.;3,086;2024-04-02 17:27:09;april;-0,0035322275964965177;0,046532227596496514
CHIP;pablo;B-28;2024/04/02;17:27:28;0,043;2522;-0,06;0,065;0;0,038;-0,0002;24,8;1946,8109;28,37399983;-16,46387039;86;0,0036;0;No notes.;3,086;2024-04-02 17:27:28;april;-0,003534442714621666;0,04653444271462166
CHIP;pablo;B-28;2024/04/02;17:27:45;0,042;2522;-0,061;0,065;0;0,038;-0,0012;24,8;1946,8109;28,37399983;-16,46387039;103;0,0047;0;No notes.;3,086;2024-04-02 17:27:45;april;-0,003536424649904224;0,04553642464990423
CHIP;pablo;B-28;2024/04/02;17:28:22;0,039;2522;-0,064;0,065;0;0,038;0,0008;24,8;1946,8109;28,37399983;-16,46387039;140;0,0035;0;No notes.;3,086;2024-04-02 17:28:22;april;-0,0035407382329007975;0,0425407382329008
CHIP;pablo;B-28;2024/04/02;17:28:48;0,044;2522;-0,059;0,065;0;0,038;0,0016;24,8;1946,8109;28,37399983;-16,46387039;166;0,0056;0;No notes.;3,086;2024-04-02 17:28:48;april;-0,003543769365838223;0,04754376936583822
CHIP;pablo;B-28;2024/04/02;17:29:13;0,043;2522;-0,06;0,065;0;0,038;-0,0005;24,8;1946,8109;28,37399983;-16,46387039;191;0,0025;0;No notes.;3,086;2024-04-02 17:29:13;april;-0,0035466838906694775;0,046546683890669474
CHIP;pablo;B-28;2024/04/02;17:29:59;0,041;2522;-0,062;0,066;0;0,038;0,0004;24,8;1946,8109;28,37399983;-16,46387039;237;0,0035;0;No notes.;3,086;2024-04-02 17:29:59;april;-0,0035520465495781917;0,04455204654957819
CHIP;pablo;B-28;2024/04/02;17:30:29;0,045;2522;-0,059;0,066;0;0,038;0,001;24,8;1946,8109;28,37399983;-16,46387039;267;0,0079;0;No notes.;3,086;2024-04-02 17:30:29;april;-0,0035555438892033164;0,048555543889203315
CHIP;pablo;B-28;2024/04/02;17:30:51;0,046;2522;-0,057;0,066;0;0,038;0,0002;24,8;1946,8109;28,37399983;-16,46387039;289;0,0049;0;No notes.;3,086;2024-04-02 17:30:51;april;-0,003558108581536712;0,04955810858153671
CHIP;pablo;B-28;2024/04/02;17:31:16;0,046;2522;-0,058;0,066;0;0,038;-0,0001;24,8;1946,8109;28,37399983;-16,46387039;314;0,0072;0;No notes.;3,086;2024-04-02 17:31:16;april;-0,0035610229806174454;0,049561022980617445
CHIP;pablo;B-28;2024/04/02;17:32:07;0,047;2522;-0,057;0,066;0;0,038;0,0005;24,8;1946,8109;28,37399983;-16,46387039;365;0,004;0;No notes.;3,086;2024-04-02 17:32:07;april;-0,0035669682754886356;0,050566968275488636
CHIP;pablo;B-28;2024/04/02;17:32:31;0,04;2522;-0,064;0,067;0;0,038;0,0002;24,8;1946,8109;28,37399983;-16,46387039;389;0,004;0;No notes.;3,086;2024-04-02 17:32:31;april;-0,0035697660245054275;0,04356976602450543
CHIP;pablo;B-28;2024/04/02;17:32:54;0,04;2522;-0,065;0,067;0;0,038;0,0;24,8;1946,8109;28,37399983;-16,46387039;412;0,0061;0;No notes.;3,086;2024-04-02 17:32:54;april;-0,0035724471785429923;0,04357244717854299
CHIP;pablo;B-28;2024/04/02;17:34:49;0,04;2522;-0,065;0,067;0;0,038;0,0002;24,8;1946,8109;28,37399983;-16,46387039;527;0,0047;0;No notes.;3,086;2024-04-02 17:34:49;april;-0,0035858526242332767;0,04358585262423328
CHIP;pablo;B-28;2024/04/02;17:35:40;0,043;2522;-0,062;0,068;0;0,038;-0,0002;24,8;1946,8109;28,37399983;-16,46387039;578;0,0061;0;No notes.;3,086;2024-04-02 17:35:40;april;-0,0035917974748679304;0,04659179747486793
CHIP;pablo;B-28;2024/04/02;17:36:23;0,046;2522;-0,06;0,068;0;0,038;0,0001;24,8;1946,8109;28,37399983;-16,46387039;621;0,0046;0;No notes.;3,086;2024-04-02 17:36:23;april;-0,0035968097172650593;0,04959680971726506
CHIP;pablo;B-28;2024/04/02;17:37:10;0,046;2522;-0,061;0,069;0;0,038;-0,0004;24,8;1946,8109;28,37399983;-16,46387039;668;0,0046;0;No notes.;3,086;2024-04-02 17:37:10;april;-0,00360228812827712;0,04960228812827712
IPNA_out;pablo;B-28;2024/04/03;17:29:35;0,811;2834;0,753;0,02;0;0,038;-0,0052;24,2;607,7105;28,4795576;-16,32038175;115;0,0094;0;No notes.;3,086;2024-04-03 17:29:35;april;-0,013469086804870467;0,8244690868048705
IPNA_out;pablo;B-28;2024/04/03;17:30:15;0,818;2834;0,759;0,021;0;0,038;0,0;24,2;607,7105;28,4795576;-16,32038175;155;0,004;0;No notes.;3,086;2024-04-03 17:30:15;april;-0,013473608624186673;0,8314736086241866
IPNA_out;pablo;B-28;2024/04/03;17:30:36;0,816;2834;0,756;0,022;0;0,038;-0,0005;24,2;607,7105;28,4795576;-16,32038175;176;0,0033;0;No notes.;3,086;2024-04-03 17:30:36;april;-0,013475982553134758;0,8294759825531347
IPNA_out;pablo;B-28;2024/04/03;17:30:53;0,815;2834;0,755;0,022;0;0,038;-0,0004;24,2;607,7105;28,4795576;-16,32038175;193;0,003;0;No notes.;3,086;2024-04-03 17:30:53;april;-0,013477904291931408;0,8284779042919314
IPNA_out;pablo;B-28;2024/04/03;17:31:50;0,815;2834;0,756;0,022;0;0,038;0,0003;24,2;607,7105;28,4795576;-16,32038175;250;0,0035;0;No notes.;3,086;2024-04-03 17:31:50;april;-0,013484347682826914;0,8284843476828269
IPNA_out;pablo;B-28;2024/04/03;17:32:09;0,815;2834;0,755;0,022;0;0,038;0,0;24,2;607,7105;28,4795576;-16,32038175;269;0,0035;0;No notes.;3,086;2024-04-03 17:32:09;april;-0,013486495450266256;0,8284864954502662
IPNA_out;pablo;B-28;2024/04/03;17:32:27;0,814;2834;0,754;0,023;0;0,038;-0,0003;24,2;607,7105;28,4795576;-16,32038175;287;0,0052;0;No notes.;3,086;2024-04-03 17:32:27;april;-0,01348853016369611;0,8274885301636961
IPNA_out;pablo;B-28;2024/04/03;17:32:48;0,816;2834;0,755;0,023;0;0,038;0,0002;24,2;607,7105;28,4795576;-16,32038175;308;0,0031;0;No notes.;3,086;2024-04-03 17:32:48;april;-0,013490903979284763;0,8294909039792847
IPNA_out;pablo;B-28;2024/04/03;17:33:29;0,815;2834;0,754;0,023;0;0,038;0,0001;24,2;607,7105;28,4795576;-16,32038175;349;0,0029;0;No notes.;3,086;2024-04-03 17:33:29;april;-0,013495538519647687;0,8284955385196476
FA00;pablo;B-28;2024/05/03;14:31:34;0,737;2484;0,73;-0,031;0;0,038;-0,0052;29,8;2222,5816;28,28097303;-16,51485468;58;0,0085;0;No notes.;3,086;2024-05-03 14:31:34;may;0,0;0,737
FA00;pablo;B-28;2024/05/03;14:32:04;0,74;2484;0,733;-0,031;0;0,038;-0,001;29,8;2222,5816;28,28097303;-16,51485468;88;0,0023;0;No notes.;3,086;2024-05-03 14:32:04;may;-2,474784101424987e-06;0,7400024747841014
FA00;pablo;B-28;2024/05/03;14:32:32;0,741;2484;0,734;-0,031;0;0,038;-0,0001;29,8;2222,5816;28,28097303;-16,51485468;116;0,0031;0;No notes.;3,086;2024-05-03 14:32:32;may;-4,78452097740778e-06;0,7410047845209774
FA00;pablo;B-28;2024/05/03;14:32:49;0,74;2484;0,733;-0,031;0;0,038;-0,0001;29,8;2222,5816;28,28097303;-16,51485468;133;0,002;0;No notes.;3,086;2024-05-03 14:32:49;may;-6,1868321974412055e-06;0,7400061868321974
FA00;pablo;B-28;2024/05/03;14:33:11;0,742;2484;0,735;-0,031;0;0,038;0,001;29,8;2222,5816;28,28097303;-16,51485468;155;0,0033;0;No notes.;3,086;2024-05-03 14:33:11;may;-8,001555339198774e-06;0,7420080015553392
FA00;pablo;B-28;2024/05/03;14:33:31;0,744;2484;0,738;-0,031;0;0,038;0,0004;29,8;2222,5816;28,28097303;-16,51485468;175;0,0037;0;No notes.;3,086;2024-05-03 14:33:31;may;-9,651271778099435e-06;0,7440096512717781
FA00;pablo;B-28;2024/05/03;14:33:58;0,744;2484;0,737;-0,032;0;0,038;-0,0001;29,8;2222,5816;28,28097303;-16,51485468;202;0,003;0;No notes.;3,086;2024-05-03 14:33:58;may;-1,187834082139183e-05;0,7440118783408214
FA00;pablo;B-28;2024/05/03;14:34:17;0,744;2484;0,738;-0,032;0;0,038;-0,0001;29,8;2222,5816;28,28097303;-16,51485468;221;0,0045;0;No notes.;3,086;2024-05-03 14:34:17;may;-1,3445504393749808e-05;0,7440134455043937
